,X.1,X,Sample_ID,Seed_Number,Length,Width,Plant_Species_Common_Name,Treatment,Germination.Date,germ,Lemur_Species,Name,GerminationTime
17,17,2821,AM077,6,3.92,2.83,Solanum lycopersicum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
18,18,12,AM005,1,4.23,3.57,Capsicum annuum,"Gut-passed, Washed",2/1/23,1,E. mongoz,Nacho,14
19,19,2887,AM086,1,4.56,3.98,Capsicum annuum,Gut-passed,3/8/23,1,E. mongoz,Duggan,14
20,20,2877,AM087,1,4.61,3.8,Capsicum annuum,Gut-passed,3/1/23,1,E. mongoz,Clancy,7
21,21,2878,AM087,2,3.93,3.35,Capsicum annuum,Gut-passed,3/3/23,1,E. mongoz,Clancy,9
22,22,2879,AM087,3,2.19,1.51,Actinidia deliciosa,Gut-passed,NA,0,E. mongoz,Clancy,NA
23,23,2880,AM087,4,2.19,1.29,Actinidia deliciosa,Gut-passed,NA,0,E. mongoz,Clancy,NA
24,24,2881,AM087,5,1.78,1.43,Actinidia deliciosa,Gut-passed,NA,0,E. mongoz,Clancy,NA
25,25,5791,AM226,1,3.91,3.54,Capsicum annuum,"Gut-passed, Washed",NA,0,L. catta,Fritz,NA
26,26,2858,AM101,1,3.92,3.2,Capsicum annuum,Gut-passed,NA,0,E. mongoz,Clancy,NA
27,27,2859,AM101,2,2.29,1.32,Actinidia deliciosa,Gut-passed,NA,0,E. mongoz,Clancy,NA
28,28,2860,AM101,3,2.36,1.49,Actinidia deliciosa,Gut-passed,NA,0,E. mongoz,Clancy,NA
29,29,2861,AM101,4,2.29,1.4,Actinidia deliciosa,Gut-passed,NA,0,E. mongoz,Clancy,NA
30,30,2862,AM101,5,2.07,1.24,Actinidia deliciosa,Gut-passed,NA,0,E. mongoz,Clancy,NA
31,31,2868,BZ053,1,4.59,3.79,Capsicum annuum,Gut-passed,3/3/23,1,E. mongoz,Clancy,9
32,32,2869,BZ053,2,4.47,3.41,Capsicum annuum,Gut-passed,3/1/23,1,E. mongoz,Clancy,7
33,33,2870,BZ053,3,4.32,3.67,Capsicum annuum,Gut-passed,3/1/23,1,E. mongoz,Clancy,7
34,34,2871,BZ053,4,4.57,3.8,Capsicum annuum,Gut-passed,3/3/23,1,E. mongoz,Clancy,9
35,35,2872,BZ053,5,10.35,4.41,Capsicum annuum,Gut-passed,NA,0,E. mongoz,Clancy,NA
36,36,2873,BZ054,1,4.31,3.53,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
37,37,2874,BZ054,2,4.19,3.58,Capsicum annuum,"Gut-passed, Washed",3/3/23,1,E. mongoz,Clancy,9
38,38,2875,BZ054,3,4.42,3.84,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
39,39,2876,BZ054,4,9.7,3.8,Cucumis melo var. cantalupensis,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
40,40,2888,BZ056,1,4.51,3.85,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Maddie,7
41,41,2889,BZ056,2,4.24,3.62,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Maddie,7
42,42,2890,BZ056,3,4.68,3.68,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Maddie,7
43,43,2891,BZ056,4,4.48,3.61,Capsicum annuum,"Gut-passed, Washed",3/3/23,1,E. mongoz,Maddie,9
44,44,2892,BZ056,5,4.32,3.51,Capsicum annuum,"Gut-passed, Washed",3/3/23,1,E. mongoz,Maddie,9
45,45,2893,BZ056,6,4.02,3.51,Capsicum annuum,"Gut-passed, Washed",3/8/23,1,E. mongoz,Maddie,14
46,46,2894,BZ056,7,10.15,4.33,Cucumis melo var. cantalupensis,"Gut-passed, Washed",NA,0,E. mongoz,Maddie,NA
47,47,5792,AM224,1,4.38,3.55,Capsicum annuum,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
48,48,5793,AM224,2,4.5,3.75,Capsicum annuum,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
49,49,5794,AM224,3,4.05,3.38,Capsicum annuum,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
50,50,5795,AM224,4,4.11,3.44,Capsicum annuum,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
51,51,5796,AM224,5,4.07,3.36,Capsicum annuum,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
52,52,5797,AM224,6,4.23,3.57,Capsicum annuum,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
53,53,5798,AM224,7,4.35,3.92,Capsicum annuum,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
54,54,5799,AM224,8,4.55,3.63,Capsicum annuum,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
55,55,5800,AM225,1,4.52,3.71,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
56,56,5801,AM225,2,3.89,3.66,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
57,57,5802,AM225,3,3.99,3.53,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
58,58,5803,AM225,4,4.2,3.57,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
59,59,5804,AM225,5,4.26,3.56,Capsicum annuum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
60,60,5805,AM225,6,4.07,2.81,Solanum lycopersicum,"Gut-passed, Washed",8/25/23,1,L. catta,Narcissa,3
61,61,5806,AM225,7,3.52,2.47,Solanum lycopersicum,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
62,62,5807,AM225,8,4.33,2.77,Solanum lycopersicum,"Gut-passed, Washed",8/25/23,1,L. catta,Narcissa,3
63,63,5808,AM225,9,2.44,1.27,Selenicereus undatus,"Gut-passed, Washed",8/25/23,1,L. catta,Narcissa,3
64,64,5809,AM225,10,2.01,1.06,Selenicereus undatus,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
65,65,5810,AM225,11,2.2,1.2,Selenicereus undatus,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
66,66,5811,AM225,12,2.42,1.23,Selenicereus undatus,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
67,67,5812,AM225,13,2.18,1.03,Selenicereus undatus,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
68,68,5813,AM225,14,2.03,1.24,Selenicereus undatus,"Gut-passed, Washed",8/25/23,1,L. catta,Narcissa,3
69,69,5814,AM225,15,1.94,1.04,Selenicereus undatus,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
70,70,5815,AM225,16,2.15,1.05,Selenicereus undatus,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
71,71,5816,AM225,17,2.11,1.05,Selenicereus undatus,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
72,72,5817,AM225,18,2.12,1.26,Selenicereus undatus,"Gut-passed, Washed",NA,0,L. catta,Narcissa,NA
73,73,5818,AM225,19,2.01,1.27,Selenicereus undatus,"Gut-passed, Washed",8/30/23,1,L. catta,Narcissa,8
74,74,2882,BZ055,1,2.2,1.41,Actinidia deliciosa,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
75,75,2883,BZ055,2,2.1,1.45,Actinidia deliciosa,"Gut-passed, Washed",3/15/23,1,E. mongoz,Clancy,21
76,76,2884,BZ055,3,2.23,1.51,Actinidia deliciosa,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
77,77,2885,BZ055,4,4.83,3.64,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
78,78,2886,BZ055,5,4.08,2.35,Solanum lycopersicum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
79,79,1,AM004,2,9.77,4.46,Cucumis melo var. cantalupensis,Gut-passed,4/5/23,1,E. mongoz,Bonita,77
80,80,2,AM004,8,4.2,3.5,Capsicum annuum,Gut-passed,2/1/23,1,E. mongoz,Bonita,14
81,81,3,AM004,4,9.74,4.23,Cucumis melo var. cantalupensis,Gut-passed,1/25/23,1,E. mongoz,Bonita,7
82,82,4,AM004,1,9.93,4.44,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. mongoz,Bonita,NA
83,83,5,AM004,3,9.38,4.02,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. mongoz,Bonita,NA
84,84,6,AM004,5,8.35,3.92,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. mongoz,Bonita,NA
85,85,7,AM004,6,10.18,4.09,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. mongoz,Bonita,NA
86,86,8,AM004,7,4.18,3.52,Capsicum annuum,Gut-passed,NA,0,E. mongoz,Bonita,NA
87,87,9,AM004,9,4.41,3.62,Capsicum annuum,Gut-passed,NA,0,E. mongoz,Bonita,NA
88,88,10,AM004,1,9.68,4.23,Cucumis melo var. cantalupensis,"Gut-passed, Washed",4/5/23,1,E. mongoz,Bonita,77
89,89,11,AM004,2,4.17,3.62,Capsicum annuum,"Gut-passed, Washed",2/1/23,1,E. mongoz,Bonita,14
90,90,42,AM020,1,10.23,4.29,Cucumis melo var. cantalupensis,"Gut-passed, Washed",1/25/23,1,E. mongoz,Bonita,7
91,91,43,AM020,2,8.96,4.27,Cucumis melo var. cantalupensis,"Gut-passed, Washed",NA,0,E. mongoz,Bonita,NA
92,92,2826,AM078,1,4.59,3.83,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,NA,7
93,93,2827,AM078,2,4.47,3.6,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,NA,7
94,94,2828,AM078,3,4.62,3.87,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,NA,7
95,95,2829,AM078,4,4.51,3.85,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,NA,7
96,96,2837,AM103,1,4.18,3.61,Capsicum annuum,Gut-passed,3/1/23,1,E. mongoz,Clancy,7
97,97,2838,AM103,2,3.47,3.45,Capsicum annuum,Gut-passed,NA,0,E. mongoz,Clancy,NA
98,98,2839,AM103,3,4.21,3.66,Capsicum annuum,Gut-passed,3/1/23,1,E. mongoz,Clancy,7
99,99,2863,AM102,1,4.74,3.91,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
100,100,2864,AM102,2,4.62,3.7,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
101,101,2865,AM102,3,4.11,3.56,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
102,102,2866,AM102,4,4.56,3.56,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
103,103,2867,AM102,5,4.32,3.45,Capsicum annuum,"Gut-passed, Washed",3/1/23,1,E. mongoz,Clancy,7
104,104,2599,DW081,5,10.19,4.55,Cucumis melo var. cantalupensis,Gut-passed,3/22/23,1,E. flavifrons,Hamill,42
105,105,2600,DW081,3,7.92,4.06,Cucumis melo var. cantalupensis,Gut-passed,3/1/23,1,E. flavifrons,Hamill,21
106,106,2601,DW081,2,8.89,3.68,Cucumis melo var. cantalupensis,Gut-passed,2/24/23,1,E. flavifrons,Hamill,16
107,107,2602,DW081,8,9.72,3.97,Cucumis melo var. cantalupensis,Gut-passed,2/24/23,1,E. flavifrons,Hamill,16
108,108,2603,DW081,10,4.62,3.48,Capsicum annuum,Gut-passed,2/24/23,1,E. flavifrons,Hamill,16
109,109,2604,DW081,13,4,3.87,Capsicum annuum,Gut-passed,2/24/23,1,E. flavifrons,Hamill,16
110,110,2605,DW081,12,4.59,4.06,Capsicum annuum,Gut-passed,2/17/23,1,E. flavifrons,Hamill,9
111,111,2606,DW081,1,10.32,4.23,Cucumis melo var. cantalupensis,Gut-passed,2/15/23,1,E. flavifrons,Hamill,7
112,112,2607,DW081,4,10.45,4.71,Cucumis melo var. cantalupensis,Gut-passed,2/15/23,1,E. flavifrons,Hamill,7
113,113,2608,DW081,6,10.53,4.65,Cucumis melo var. cantalupensis,Gut-passed,2/15/23,1,E. flavifrons,Hamill,7
114,114,2609,DW081,7,9.81,4.18,Cucumis melo var. cantalupensis,Gut-passed,2/15/23,1,E. flavifrons,Hamill,7
115,115,2610,DW081,9,8.38,4.18,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
116,116,2611,DW081,11,4.02,3.37,Capsicum annuum,Gut-passed,NA,0,E. flavifrons,Hamill,NA
117,117,2612,DW081,15,2.22,1.35,Actinidia deliciosa,Gut-passed,NA,0,E. flavifrons,Hamill,NA
118,118,2613,DW081,16,2.22,1.33,Actinidia deliciosa,Gut-passed,NA,0,E. flavifrons,Hamill,NA
119,119,2614,DW081,17,2.05,1.33,Actinidia deliciosa,Gut-passed,NA,0,E. flavifrons,Hamill,NA
120,120,2615,DW082,5,9.16,4.36,Cucumis melo L.,Gut-passed,2/15/23,1,E. flavifrons,Gellar,7
121,121,2616,DW082,7,10.14,4.64,Cucumis melo L.,Gut-passed,2/15/23,1,E. flavifrons,Gellar,7
122,122,2617,DW082,8,10.85,4.75,Cucumis melo L.,Gut-passed,2/15/23,1,E. flavifrons,Gellar,7
123,123,2618,DW082,1,13.67,7.21,Cucurbita moschata,Gut-passed,NA,0,E. flavifrons,Gellar,NA
124,124,2619,DW082,6,11.1,4.74,Cucumis melo L.,Gut-passed,NA,0,E. flavifrons,Gellar,NA
125,125,2620,DW083,12,10.18,4.47,Cucumis melo var. cantalupensis,Gut-passed,3/8/23,1,E. flavifrons,Hamill,28
126,126,2621,DW083,9,9.54,4.24,Cucumis melo var. cantalupensis,Gut-passed,2/22/23,1,E. flavifrons,Hamill,14
127,127,2622,DW083,1,9.9,4.62,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
128,128,2623,DW083,2,10.7,4.72,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
129,129,2624,DW083,3,10.01,4.6,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
130,130,2625,DW083,4,10.22,4.53,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
131,131,2626,DW083,5,10.43,4.39,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
132,132,2627,DW083,6,10.46,4.63,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
133,133,2628,DW083,7,9.93,4.4,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
134,134,2629,DW083,8,10.18,4.6,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
135,135,2630,DW083,10,9.6,3.96,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
136,136,2631,DW083,11,10.86,4.55,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
137,137,2632,DW083,13,13.13,6.55,Cucumis melo var. cantalupensis,Gut-passed,NA,0,E. flavifrons,Hamill,NA
138,138,2633,DW083,8,2.26,1.83,Actinidia deliciosa,Gut-passed,3/3/23,1,E. flavifrons,Hamill,23
139,139,2634,DW083,7,4.4,3.8,Capsicum annuum,Gut-passed,3/1/23,1,E. flavifrons,Hamill,21
140,140,2635,DW083,2,4.63,3.64,Capsicum annuum,Gut-passed,2/22/23,1,E. flavifrons,Hamill,14
141,141,2636,DW083,1,4.91,4.04,Capsicum annuum,Gut-passed,2/17/23,1,E. flavifrons,Hamill,9
142,142,2637,DW083,5,4,4.22,Capsicum annuum,Gut-passed,2/17/23,1,E. flavifrons,Hamill,9
143,143,2638,DW083,3,4.53,4.15,Capsicum annuum,Gut-passed,2/15/23,1,E. flavifrons,Hamill,7
144,144,2639,DW083,4,4.9,4.13,Capsicum annuum,Gut-passed,2/15/23,1,E. flavifrons,Hamill,7
145,145,2640,DW083,6,4.3,4.17,Capsicum annuum,Gut-passed,2/15/23,1,E. flavifrons,Hamill,7
146,146,2641,DW083,9,2.26,1.8,Actinidia deliciosa,Gut-passed,NA,0,E. flavifrons,Hamill,NA
147,147,2642,DW083,10,2.16,1.71,Actinidia deliciosa,Gut-passed,NA,0,E. flavifrons,Hamill,NA
148,148,2508,DW069,14,9.31,4.12,Cucumis melo var. cantalupensis,"Gut-passed, Washed",2/24/23,1,E. flavifrons,Hamill,16
149,149,2509,DW069,1,4.47,4.01,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
150,150,2510,DW069,2,4.47,3.7,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
151,151,2511,DW069,3,4.53,4.24,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
152,152,2512,DW069,4,4.83,3.87,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
153,153,2513,DW069,5,4.17,3.95,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
154,154,2514,DW069,6,4.49,3.81,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
155,155,2515,DW069,7,4.67,3.74,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
156,156,2516,DW069,8,4.6,3.96,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
157,157,2517,DW069,9,4.14,3.72,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
158,158,2518,DW069,10,4.27,4,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
159,159,2519,DW069,12,4.52,3.73,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
160,160,2520,DW069,13,4.82,3.94,Capsicum annuum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
161,161,2521,DW069,15,10.74,4.37,Cucumis melo var. cantalupensis,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
162,162,2522,DW069,18,9.02,4.33,Cucumis melo var. cantalupensis,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
163,163,2523,DW069,11,5.02,4.36,Capsicum annuum,"Gut-passed, Washed",NA,0,E. flavifrons,Hamill,NA
164,164,2524,DW069,16,8.8,3.84,Cucumis melo var. cantalupensis,"Gut-passed, Washed",NA,0,E. flavifrons,Hamill,NA
165,165,2525,DW069,17,9.62,4.25,Cucumis melo var. cantalupensis,"Gut-passed, Washed",NA,0,E. flavifrons,Hamill,NA
166,166,2526,DW069,2,10.21,4.83,Cucumis melo var. cantalupensis,"Gut-passed, Washed",NA,0,E. flavifrons,Hamill,NA
167,167,2527,DW069,3,9.65,4.12,Cucumis melo var. cantalupensis,"Gut-passed, Washed",NA,0,E. flavifrons,Hamill,NA
168,168,2528,DW069,8,1.93,1.04,Actinidia deliciosa,"Gut-passed, Washed",NA,0,E. flavifrons,Hamill,NA
169,169,2529,DW069,9,2.1,1.32,Actinidia deliciosa,"Gut-passed, Washed",NA,0,E. flavifrons,Hamill,NA
170,170,2530,DW069,6,2.27,1.38,Actinidia deliciosa,"Gut-passed, Washed",2/22/23,1,E. flavifrons,Hamill,14
171,171,2531,DW069,7,2.4,1.38,Actinidia deliciosa,"Gut-passed, Washed",2/17/23,1,E. flavifrons,Hamill,9
172,172,2532,DW069,1,9.84,4.26,Cucumis melo var. cantalupensis,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
173,173,2533,DW069,4,4.31,2.83,Solanum lycopersicum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
174,174,2534,DW069,5,4.38,2.51,Solanum lycopersicum,"Gut-passed, Washed",2/15/23,1,E. flavifrons,Hamill,7
175,175,2535,DW071,1,4.81,4.16,Capsicum annuum,Gut-passed,2/17/23,1,E. flavifrons,Hamill,9
176,176,2536,DW072,2,9.39,4.1,Cucumis melo var. cantalupensis,"Gut-passed, Washed",2/24/23,1,E. flavifrons,Gellar,16
177,177,2537,DW072,1,9.51,4.15,Cucumis melo var. cantalupensis,"Gut-passed, Washed",2/22/23,1,E. flavifrons,Gellar,14
178,178,2538,DW072,3,12.28,6.87,Cucurbita moschata,"Gut-passed, Washed",NA,0,E. flavifrons,Gellar,NA
179,179,2539,DW072,4,4.85,4.11,Capsicum annuum,"Gut-passed, Washed",NA,0,E. flavifrons,Gellar,NA
180,180,2540,DW072,5,4.27,2.44,Solanum lycopersicum,"Gut-passed, Washed",NA,0,E. flavifrons,Gellar,NA
181,181,3265,AM129,1,4.11,1.97,Rubus fruticosus,"Gut-passed, Washed",NA,0,E. mongoz,Maddie,NA
182,182,5833,AM234,1,2.53,1.54,Selenicereus undatus,"Gut-passed, Washed",10/18/23,1,L. catta,Berisades,43
183,183,5834,AM234,2,2.61,1.61,Selenicereus undatus,"Gut-passed, Washed",9/8/23,1,L. catta,Berisades,3
184,184,5835,AM234,3,2.48,1.71,Selenicereus undatus,"Gut-passed, Washed",9/13/23,1,L. catta,Berisades,8
185,185,5836,AM234,4,2.61,1.54,Selenicereus undatus,"Gut-passed, Washed",9/13/23,1,L. catta,Berisades,8
186,186,5837,AM234,5,2.51,1.54,Selenicereus undatus,"Gut-passed, Washed",9/27/23,1,L. catta,Berisades,22
187,187,5838,AM234,6,2.8,1.48,Selenicereus undatus,"Gut-passed, Washed",9/8/23,1,L. catta,Berisades,3
188,188,5839,AM234,7,2.69,1.71,Selenicereus undatus,"Gut-passed, Washed",9/13/23,1,L. catta,Berisades,8
189,189,5840,AM234,8,2.65,1.56,Selenicereus undatus,"Gut-passed, Washed",NA,0,L. catta,Berisades,NA
190,190,5841,AM234,9,2.49,1.34,Selenicereus undatus,"Gut-passed, Washed",9/13/23,1,L. catta,Berisades,8
191,191,5842,AM234,10,2.53,1.52,Selenicereus undatus,"Gut-passed, Washed",10/25/23,1,L. catta,Berisades,50
192,192,5843,AM234,11,2.46,1.5,Selenicereus undatus,"Gut-passed, Washed",9/13/23,1,L. catta,Berisades,8
193,193,5844,AM234,12,2.49,1.43,Selenicereus undatus,"Gut-passed, Washed",10/25/23,1,L. catta,Berisades,50
194,194,5845,AM234,13,2.6,1.55,Selenicereus undatus,"Gut-passed, Washed",9/13/23,1,L. catta,Berisades,8
195,195,5846,AM234,14,2.73,1.56,Selenicereus undatus,"Gut-passed, Washed",NA,0,L. catta,Berisades,NA
196,196,5847,AM234,15,2.55,1.65,Selenicereus undatus,"Gut-passed, Washed",9/8/23,1,L. catta,Berisades,3
197,197,5848,AM234,16,4.45,3.33,Solanum lycopersicum,"Gut-passed, Washed",9/8/23,1,L. catta,Berisades,3
198,198,5849,AM234,17,4.02,2.78,Solanum lycopersicum,"Gut-passed, Washed",9/8/23,1,L. catta,Berisades,3
199,199,5850,AM234,18,4.17,2.89,Solanum lycopersicum,"Gut-passed, Washed",9/8/23,1,L. catta,Berisades,3
200,200,5851,AM234,19,3.93,3.14,Solanum lycopersicum,"Gut-passed, Washed",9/8/23,1,L. catta,Berisades,3
201,201,5852,AM234,20,4.04,2.71,Solanum lycopersicum,"Gut-passed, Washed",9/13/23,1,L. catta,Berisades,8
202,202,3266,AM131,1,2.53,1.67,Actinidia deliciosa,"Gut-passed, Washed",NA,0,E. mongoz,Maddie,NA
203,203,3267,AM131,2,2.53,1.4,Actinidia deliciosa,"Gut-passed, Washed",NA,NA,E. mongoz,Maddie,NA
204,204,3268,AM131,3,2.37,1.34,Actinidia deliciosa,"Gut-passed, Washed",NA,0,E. mongoz,Maddie,NA
205,205,3269,AM132,1,7.15,4.54,Malus pumila,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
206,206,3270,AM132,2,4.29,3.73,Capsicum annuum,"Gut-passed, Washed",3/17/23,1,E. mongoz,Clancy,9
207,207,3271,AM132,3,4.24,3.89,Capsicum annuum,"Gut-passed, Washed",3/17/23,1,E. mongoz,Clancy,9
208,208,3272,AM132,4,4.09,2.49,Solanum lycopersicum,"Gut-passed, Washed",3/15/23,1,E. mongoz,Clancy,7
209,209,3273,AM132,5,4.75,2.34,Solanum lycopersicum,"Gut-passed, Washed",3/15/23,1,E. mongoz,Clancy,7
210,210,3274,AM132,6,4.17,1.92,Rubus fruticosus,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
211,211,3275,AM132,7,3.67,1.7,Rubus fruticosus,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
212,212,3276,AM132,8,4.16,2.3,Rubus fruticosus,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
213,213,3277,AM132,9,3.58,1.89,Rubus fruticosus,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
214,214,3278,AM132,10,3.93,1.97,Rubus fruticosus,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
215,215,3279,AM132,11,3.88,2.34,Rubus fruticosus,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
216,216,3280,AM132,12,3.74,2.17,Rubus fruticosus,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
217,217,3281,AM132,13,4.02,1.68,Rubus fruticosus,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
218,218,3282,AM132,14,3.83,1.95,Rubus fruticosus,"Gut-passed, Washed",NA,0,E. mongoz,Clancy,NA
