"","Lemur","Plante","L","Treatment","Control","Germination","Sex","Date","GerminationDate","Time"
"37","Eulemur rubriventer","Syzygium",5.53,"Gut Passed, Unwashed","0",1,"F",2023-07-04,2023-08-04,31
"38","Eulemur rubriventer","Syzygium",7.16,"Gut Passed, Unwashed","0",1,"F",2023-07-04,2023-07-26,22
"39","Eulemur rubriventer","Syzygium",6.41,"Gut Passed, Unwashed","0",0,"F",2023-07-04,NA,NA
"40","Eulemur rubriventer","Syzygium",5.76,"Gut Passed, Unwashed","0",1,"F",2023-07-04,2023-08-16,43
"41","Eulemur rubriventer","Syzygium",8.83,"Gut Passed, Unwashed","0",1,"F",2023-07-04,2023-08-25,52
"42","Eulemur rubriventer","Syzygium",5.4,"Gut Passed, Unwashed","0",1,"F",2023-07-04,2023-07-26,22
"43","Eulemur rubriventer","Syzygium",7.45,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-10-03,91
"44","Eulemur rubriventer","Syzygium",8.61,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-08-22,49
"45","Eulemur rubriventer","Syzygium",5.86,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-10-03,91
"46","Eulemur rubriventer","Syzygium",6.12,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-08-04,31
"47","Eulemur rubriventer","Syzygium",5.97,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-07-29,25
"48","Eulemur rubriventer","Syzygium",5.43,"Gut Passed, Unwashed","0",0,"",2023-07-04,NA,NA
"49","Eulemur rubriventer","Syzygium",6.54,"Gut Passed, Unwashed","0",0,"",2023-07-04,2024-01-25,100
"50","Eulemur rubriventer","Syzygium",5.26,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-08-16,43
"51","Eulemur rubriventer","Syzygium",6.12,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-07-26,22
"52","Eulemur rubriventer","Syzygium",4.49,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-07-26,22
"53","Eulemur rubriventer","Syzygium",4.86,"Gut Passed, Unwashed","0",0,"",2023-07-04,NA,NA
"54","Eulemur rubriventer","Syzygium",4.45,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-08-22,49
"55","Eulemur rubriventer","Syzygium",5.5,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-07-26,22
"56","Eulemur rubriventer","Syzygium",6.12,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-08-22,49
"57","Eulemur rubriventer","Syzygium",5.67,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-07-23,19
"58","Eulemur rubriventer","Syzygium",5.51,"Gut Passed, Unwashed","0",1,"",2023-07-04,2023-08-10,37
"59","Eulemur albifrons","Syzygium",10.9,"Gut Passed, Unwashed","0",1,"",2023-07-05,2023-08-10,36
"60","Eulemur rubriventer","Syzygium",13.19,"Gut Passed, Unwashed","0",1,"M",2023-07-06,2023-07-29,23
"61","Eulemur rubriventer","Syzygium",10.8,"Gut Passed, Unwashed","0",1,"M",2023-07-06,2023-07-29,23
"62","Eulemur rubriventer","Syzygium",11.78,"Gut Passed, Unwashed","0",1,"M",2023-07-06,2023-09-06,62
"63","Eulemur rubriventer","Syzygium",11.81,"Gut Passed, Unwashed","0",1,"M",2023-07-06,2023-07-16,10
"64","Eulemur rubriventer","Syzygium",9.91,"Gut Passed, Unwashed","0",1,"M",2023-07-06,2023-07-16,10
"65","Eulemur rubriventer","Syzygium",6.24,"Gut Passed, Unwashed","0",1,"M",2023-07-06,2023-07-26,20
"66","Eulemur rubriventer","Grewia",9.86,"Gut Passed, Unwashed","0",1,"F",2023-07-06,2023-07-20,14
"67","Eulemur rubriventer","Grewia",9.56,"Gut Passed, Unwashed","0",1,"F",2023-07-06,2023-07-11,5
"68","Eulemur rubriventer","Grewia",10.56,"Gut Passed, Unwashed","0",1,"F",2023-07-06,2023-07-16,10
"69","Eulemur rubriventer","Grewia",9.79,"Gut Passed, Unwashed","0",1,"F",2023-07-06,2023-07-20,14
"70","Eulemur rubriventer","Grewia",9.34,"Gut Passed, Unwashed","0",1,"F",2023-07-06,2023-07-16,10
"71",NA,"Syzygium",10.71,"Gut Passed, Unwashed","0",0,"",2023-07-11,NA,NA
"72","Control","Syzygium",10.8,"Control","1",0,"",2023-07-11,2023-11-11,100
"73","Control","Syzygium",10.63,"Control","1",0,"",2023-07-11,2023-11-17,100
"74","Control","Syzygium",10.24,"Control","1",0,"",2023-07-11,2023-11-05,100
"75","Control","Syzygium",11.45,"Control","1",0,"",2023-07-11,NA,NA
"76","Eulemur rubriventer","Syzygium",9.17,"Gut Passed, Unwashed","0",1,"F",2023-07-12,2023-08-22,41
"77","Control","Syzygium",12.95,"Control","1",1,"",2023-07-12,2023-07-23,11
"78","Control","Syzygium",14.76,"Control","1",1,"",2023-07-12,2023-08-01,20
"79","Control","Syzygium",18.8,"Control","1",1,"",2023-07-12,2023-07-20,8
"80","Control","Syzygium",15.2,"Control","1",1,"",2023-07-12,2023-07-29,17
"81","Control","Syzygium",16.24,"Control","1",1,"",2023-07-12,2023-08-01,20
"82","Eulemur rubriventer","Grewia",10.22,"Gut Passed, Unwashed","0",0,"F",2023-07-12,NA,NA
"83","Eulemur albifrons","Syzygium",7.68,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-08-01,19
"84","Eulemur albifrons","Syzygium",8.17,"Gut Passed, Unwashed","0",0,"",2023-07-13,NA,NA
"85","Eulemur albifrons","Syzygium",7.86,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-29,16
"86","Eulemur albifrons","Syzygium",6.04,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-26,13
"87","Eulemur albifrons","Syzygium",7.37,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-26,13
"88","Eulemur albifrons","Syzygium",6.95,"Gut Passed, Unwashed","0",0,"",2023-07-13,NA,NA
"89","Eulemur albifrons","Syzygium",8.5,"Gut Passed, Unwashed","0",0,"",2023-07-13,NA,NA
"90","Eulemur albifrons","Syzygium",7.47,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-08-01,19
"91","Eulemur albifrons","Syzygium",9.03,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-26,13
"92","Eulemur albifrons","Syzygium",7.07,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-26,13
"93","Eulemur albifrons","Syzygium",7.79,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-08-04,22
"94","Eulemur albifrons","Syzygium",7.07,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-29,16
"95","Eulemur albifrons","Syzygium",6.47,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-08-01,19
"96","Eulemur albifrons","Syzygium",6.06,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-26,13
"97","Eulemur albifrons","Syzygium",8.32,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-08-01,19
"98","Eulemur albifrons","Syzygium",6.56,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-29,16
"99","Eulemur albifrons","Syzygium",7.61,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-29,16
"100","Eulemur albifrons","Syzygium",6.25,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-26,13
"101","Eulemur albifrons","Syzygium",5.9,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-26,13
"102","Eulemur albifrons","Syzygium",8.59,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-26,13
"103","Eulemur albifrons","Syzygium",6.9,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-23,10
"104","Eulemur albifrons","Syzygium",7.15,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-08-07,25
"105","Eulemur albifrons","Syzygium",6.12,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-26,13
"106","Eulemur albifrons","Syzygium",5.42,"Gut Passed, Unwashed","0",1,"",2023-07-13,2023-07-26,13
"107",NA,"Cryptocaria",15.01,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-08-16,32
"108",NA,"Syzygium",6.85,"Gut Passed, Unwashed","0",0,"",2023-07-15,NA,NA
"109",NA,"Syzygium",9.28,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-08-16,32
"110",NA,"Syzygium",9.19,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-07-29,14
"111",NA,"Syzygium",7.04,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-08-04,20
"112",NA,"Syzygium",9.67,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-08-10,26
"113",NA,"Syzygium",7.67,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-08-10,26
"114",NA,"Syzygium",9.36,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-08-04,20
"115",NA,"Syzygium",6.57,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-08-04,20
"116",NA,"Cryptocaria",16.03,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-08-16,32
"117",NA,"Cryptocaria",14.46,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-08-28,44
"118",NA,"Cryptocaria",16.05,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-08-16,32
"119",NA,"Grewia",8.99,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-09-09,56
"120",NA,"Grewia",10.22,"Gut Passed, Unwashed","0",1,"",2023-07-15,2023-07-23,8
"121",NA,"Syzygium",9.45,"Gut Passed, Unwashed","0",0,"",2023-07-15,NA,NA
"122",NA,"Syzygium",11.39,"Gut Passed, Unwashed","0",0,"",2023-07-15,NA,NA
"123","Control","Grewia",8.83,"Control","1",1,"",2023-07-15,2023-08-28,44
"124","Control","Grewia",9.85,"Control","1",1,"",2023-07-15,2023-08-07,23
"125","Control","Grewia",9.27,"Control","1",0,"",2023-07-15,NA,NA
"126","Control","Grewia",9.6,"Control","1",1,"",2023-07-15,2023-10-15,92
"127","Control","Grewia",9.3,"Control","1",0,"",2023-07-15,NA,NA
"128","Control","Grewia",10.77,"Control","1",1,"",2023-07-15,2023-07-29,14
"129","Control","Grewia",9.79,"Control","1",0,"",2023-07-15,NA,NA
"130","Control","Grewia",10.01,"Control","1",1,"",2023-07-15,2023-08-01,17
"131","Control","Grewia",10.19,"Control","1",1,"",2023-07-15,2023-07-23,8
"132","Control","Grewia",9.14,"Control","1",1,"",2023-07-15,2023-07-29,14
"133","Control","Grewia",9.5,"Control","1",1,"",2023-07-15,2023-08-07,23
"134","Control","Grewia",9.78,"Control","1",0,"",2023-07-15,NA,NA
"135","Control","Grewia",10.46,"Control","1",0,"",2023-07-15,NA,NA
"136","Control","Grewia",9.22,"Control","1",1,"",2023-07-15,2023-08-01,17
"137","Control","Grewia",8.8,"Control","1",1,"",2023-07-15,2023-08-01,17
"138","Control","Grewia",9.65,"Control","1",0,"",2023-07-15,NA,NA
"139","Control","Grewia",9.83,"Control","1",0,"",2023-07-15,NA,NA
"140","Control","Grewia",8.94,"Control","1",1,"",2023-07-15,2023-08-01,17
"141","Control","Grewia",10.7,"Control","1",1,"",2023-07-15,2023-07-29,14
"142","Control","Grewia",8.41,"Control","1",1,"",2023-07-15,2023-08-01,17
"143","Control","Syzygium",16.62,"Control","1",0,"",2023-07-16,NA,NA
"144","Control","Syzygium",14.75,"Control","1",1,"",2023-07-16,2023-07-29,13
"145","Control","Syzygium",16.86,"Control","1",1,"",2023-07-16,2023-07-29,13
"146","Control","Syzygium",15.17,"Control","1",0,"",2023-07-16,NA,NA
"147","Control","Syzygium",14.23,"Control","1",0,"",2023-07-16,NA,NA
"148","Control","Syzygium",18.17,"Control","1",0,"",2023-07-16,NA,NA
"149","Control","Syzygium",15.19,"Control","1",1,"",2023-07-16,2023-08-04,19
"150","Control","Syzygium",17.18,"Control","1",1,"",2023-07-16,2023-08-28,43
"151","Control","Syzygium",16.74,"Control","1",1,"",2023-07-16,2023-08-28,43
"152","Control","Syzygium",16.44,"Control","1",1,"",2023-07-16,2023-07-29,13
"153","Control","Syzygium",14.06,"Control","1",1,"",2023-07-16,2023-07-26,10
"154","Control","Syzygium",14.5,"Control","1",1,"",2023-07-16,2023-07-26,10
"155","Control","Syzygium",13.73,"Control","1",1,"",2023-07-16,2023-08-16,31
"156","Control","Syzygium",15.78,"Control","1",1,"",2023-07-16,2023-08-01,16
"157","Control","Syzygium",15.02,"Control","1",1,"",2023-07-16,2023-07-29,13
"158","Control","Syzygium",14.04,"Control","1",1,"",2023-07-16,2023-07-29,13
"159","Control","Syzygium",13.09,"Control","1",1,"",2023-07-16,2023-08-01,16
"160","Control","Syzygium",15.29,"Control","1",1,"",2023-07-16,2023-07-29,13
"161",NA,"Syzygium",11.28,"Gut Passed, Unwashed","0",1,"",2023-07-17,2023-08-16,30
"162",NA,"Syzygium",9.88,"Gut Passed, Unwashed","0",1,"",2023-07-17,2023-08-04,18
"163",NA,"Syzygium",7.26,"Gut Passed, Unwashed","0",1,"",2023-07-18,2023-08-01,14
"164",NA,"Syzygium",8.34,"Gut Passed, Unwashed","0",1,"",2023-07-18,2023-08-10,23
"165",NA,"Syzygium",8.74,"Gut Passed, Unwashed","0",1,"",2023-07-18,2023-08-16,29
"166",NA,"Syzygium",9.47,"Gut Passed, Unwashed","0",0,"",2023-07-18,NA,NA
"167",NA,"Syzygium",6.45,"Gut Passed, Unwashed","0",1,"",2023-07-18,2023-08-16,29
"168",NA,"Syzygium",5.26,"Gut Passed, Unwashed","0",1,"",2023-07-18,2023-09-21,65
"169",NA,"Syzygium",5.29,"Gut Passed, Unwashed","0",1,"",2023-07-18,2023-08-01,14
"170",NA,"Syzygium",9.03,"Gut Passed, Unwashed","0",1,"",2023-07-18,2023-08-31,44
"171","Eulemur rubriventer","Syzygium",17.05,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-01,13
"172",NA,"Syzygium",9.82,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-09-18,61
"173",NA,"Syzygium",10.38,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-10,22
"174",NA,"Syzygium",10.59,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-16,28
"175",NA,"Syzygium",11.39,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-16,28
"176",NA,"Syzygium",11.03,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-10,22
"177",NA,"Syzygium",10.12,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-09-18,61
"178",NA,"Syzygium",10.13,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-28,40
"179",NA,"Syzygium",9.41,"Gut Passed, Unwashed","0",0,"",2023-07-19,NA,NA
"180",NA,"Syzygium",10.34,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-07,19
"181",NA,"Syzygium",10.28,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-10,22
"182",NA,"Syzygium",8.65,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-16,28
"183",NA,"Syzygium",10.61,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-19,31
"184",NA,"Syzygium",9.56,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-16,28
"185",NA,"Syzygium",10.54,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-07,19
"186",NA,"Syzygium",10.72,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-07,19
"187",NA,"Syzygium",9.15,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-16,28
"188",NA,"Syzygium",6.47,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-04,16
"189",NA,"Syzygium",11.19,"Gut Passed, Unwashed","0",1,"",2023-07-19,2023-08-22,34
"190",NA,"Cryptocaria",14.47,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-09-09,51
"191",NA,"Syzygium",6.61,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-08-01,12
"192",NA,"Syzygium",6.48,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-09-09,51
"193",NA,"Syzygium",6.32,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-09-09,51
"194",NA,"Syzygium",69.69,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-08-25,36
"195",NA,"Syzygium",7.71,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-08-16,27
"196",NA,"Syzygium",6.22,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-08-07,18
"197",NA,"Syzygium",4.65,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-07-26,6
"198",NA,"Cryptocaria",15.27,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-08-10,21
"199",NA,"Cryptocaria",13.02,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-08-16,27
"200",NA,"Syzygium",5.86,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-09-12,54
"201",NA,"Syzygium",6.29,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-09-03,45
"202",NA,"Syzygium",6.45,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-07-29,9
"203",NA,"Syzygium",4.33,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-07-29,9
"204",NA,"Syzygium",11.53,"Gut Passed, Unwashed","0",0,"",2023-07-20,NA,NA
"205",NA,"Syzygium",9.27,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-08-19,30
"206",NA,"Syzygium",5.22,"Gut Passed, Unwashed","0",1,"",2023-07-20,2023-08-01,12
"207",NA,"Syzygium",13.84,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-08-01,10
"208",NA,"Syzygium",7.47,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-08-04,13
"209",NA,"Syzygium",8.41,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-08-04,13
"210",NA,"Syzygium",11.19,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-09-12,52
"211",NA,"Syzygium",8.68,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-09-12,52
"212",NA,"Syzygium",10.41,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-09-06,46
"213",NA,"Syzygium",11.73,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-09-15,55
"214",NA,"Syzygium",10.14,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-10-09,79
"215",NA,"Syzygium",8.56,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-09-09,49
"216",NA,"Syzygium",10.07,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-08-19,28
"217",NA,"Syzygium",10.5,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-08-19,28
"218",NA,"Syzygium",1302,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-08-19,28
"219",NA,"Syzygium",9.52,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-09-06,46
"220",NA,"Syzygium",12.25,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-09-03,43
"221",NA,"Syzygium",9.13,"Gut Passed, Unwashed","0",0,"",2023-07-22,NA,NA
"222",NA,"Syzygium",8.37,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-08-04,13
"223",NA,"Syzygium",6.88,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-08-04,13
"224",NA,"Syzygium",8.9,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-09-09,49
"225",NA,"Syzygium",8.77,"Gut Passed, Unwashed","0",0,"",2023-07-22,NA,NA
"226",NA,"Syzygium",8.7,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-08-10,19
"227",NA,"Syzygium",17.95,"Gut Passed, Unwashed","0",1,"",2023-07-22,2023-08-31,40
"228","Control","Syzygium",12.29,"Control","1",0,"",2023-07-22,NA,NA
"229","Control","Syzygium",11.16,"Control","1",0,"",2023-07-22,NA,NA
"230","Control","Syzygium",11.09,"Control","1",1,"",2023-07-22,2023-10-06,76
"231","Control","Syzygium",10.32,"Control","1",1,"",2023-07-22,2023-10-06,76
"232","Control","Syzygium",10.3,"Control","1",0,"",2023-07-22,NA,NA
"233","Control","Syzygium",11.33,"Control","1",1,"",2023-07-22,2023-10-06,76
"234","Control","Syzygium",11.56,"Control","1",1,"",2023-07-22,2023-10-06,76
"235","Control","Syzygium",9.95,"Control","1",1,"",2023-07-22,2023-09-21,61
"236","Control","Syzygium",9.63,"Control","1",1,"",2023-07-22,2023-10-06,76
"237","Control","Syzygium",10.59,"Control","1",1,"",2023-07-22,2023-10-18,88
"238","Control","Syzygium",10.84,"Control","1",0,"",2023-07-22,NA,NA
"239","Control","Syzygium",9.46,"Control","1",1,"",2023-07-22,2023-09-06,46
"240","Control","Syzygium",9.55,"Control","1",1,"",2023-07-22,2023-09-30,70
"241","Control","Syzygium",9.54,"Control","1",0,"",2023-07-22,NA,NA
"242","Control","Syzygium",10.52,"Control","1",0,"",2023-07-22,NA,NA
"243","Control","Syzygium",10.27,"Control","1",1,"",2023-07-22,2023-09-09,49
"244","Control","Syzygium",8.6,"Control","1",1,"",2023-07-22,2023-08-16,25
"245","Control","Syzygium",7.57,"Control","1",1,"",2023-07-22,2023-08-19,28
"246","Control","Syzygium",6.95,"Control","1",0,"",2023-07-22,NA,NA
"247","Control","Syzygium",5.34,"Control","1",1,"",2023-07-22,2023-08-07,16
"248","Control","Syzygium",6.17,"Control","1",1,"",2023-07-22,2023-08-16,25
"249","Control","Syzygium",5.82,"Control","1",1,"",2023-07-22,2023-08-16,25
"250","Control","Syzygium",5.38,"Control","1",1,"",2023-07-22,2023-08-10,19
"251","Control","Syzygium",6.6,"Control","1",1,"",2023-07-22,2023-08-16,25
"252","Control","Syzygium",6.33,"Control","1",1,"",2023-07-22,2023-08-25,34
"253","Control","Syzygium",5.95,"Control","1",1,"",2023-07-22,2023-08-10,19
"254","Control","Syzygium",6.2,"Control","1",1,"",2023-07-22,2023-08-16,25
"255","Control","Syzygium",6.01,"Control","1",1,"",2023-07-22,2023-08-16,25
"256","Control","Syzygium",6.39,"Control","1",1,"",2023-07-22,2023-09-09,49
"257","Control","Syzygium",4.76,"Control","1",1,"",2023-07-22,2023-08-16,25
"258","Control","Syzygium",5.82,"Control","1",1,"",2023-07-22,2023-08-16,25
"259","Control","Syzygium",6.18,"Control","1",1,"",2023-07-22,2023-08-16,25
"260","Control","Syzygium",5.15,"Control","1",1,"",2023-07-22,2023-08-25,34
"261","Control","Syzygium",4.84,"Control","1",1,"",2023-07-22,2023-08-16,25
"262","Control","Syzygium",5.76,"Control","1",1,"",2023-07-22,2023-08-25,34
"263","Control","Syzygium",6.97,"Control","1",1,"",2023-07-22,2023-09-09,49
"264","Control","Syzygium",5.98,"Control","1",1,"",2023-07-22,2023-08-16,25
"265","Control","Syzygium",6.4,"Control","1",1,"",2023-07-22,2023-08-25,34
"266","Control","Syzygium",5.73,"Control","1",1,"",2023-07-22,2023-09-09,49
"267","Control","Syzygium",4.98,"Control","1",0,"",2023-07-22,NA,NA
"268","Control","Syzygium",5.4,"Control","1",1,"",2023-07-22,2023-08-25,34
"269","Control","Syzygium",4.66,"Control","1",1,"",2023-07-22,2023-08-07,16
"270","Control","Syzygium",4.4,"Control","1",1,"",2023-07-22,2023-08-31,40
"271","Control","Cryptocaria",15.83,"Control","1",1,"",2023-07-23,2023-08-25,33
"272","Control","Cryptocaria",19.01,"Control","1",1,"",2023-07-23,2023-08-25,33
"273","Control","Cryptocaria",18.46,"Control","1",1,"",2023-07-23,2023-08-25,33
"274","Control","Cryptocaria",18.57,"Control","1",1,"",2023-07-23,2023-08-25,33
"275","Control","Cryptocaria",15.65,"Control","1",0,"",2023-07-23,NA,NA
"276","Control","Cryptocaria",14.07,"Control","1",0,"",2023-07-23,NA,NA
"277",NA,"Syzygium",7.54,"Gut Passed, Unwashed","0",0,"",2023-07-25,NA,NA
"278",NA,"Syzygium",7,"Gut Passed, Unwashed","0",1,"",2023-07-25,2023-09-03,40
"279","Eulemur rubriventer","Syzygium",16.96,"Gut Passed, Unwashed","0",0,"",2023-07-25,NA,NA
"280","Eulemur rubriventer","Syzygium",16.91,"Gut Passed, Unwashed","0",1,"",2023-07-25,2023-08-19,25
"281","Eulemur rubriventer","Cryptocaria",16.08,"Gut Passed, Unwashed","0",1,"",2023-07-25,2023-08-31,37
